street	city	price	sqms	sqmp	rooms	dos	qos	yoc	lon	lat
Fyrrebakken 3	3460 Birkerød	3623e3	132	27447	4	2015-04-26	2015.2	1962-01-01	12.445035	55.8279811
Rendebækgårdsvej 4	3460 Birkerød	495e4	168	29464	5	2015-04-23	2015.2	1973-01-01	12.405934	55.817576
Søvej 12	3460 Birkerød	4478333	138	32452	5	2015-04-23	2015.2	1850-01-01	12.4295981	55.837909
Bistrup Hegnsvej 7B	3460 Birkerød	4795e3	147	32619	5	2015-04-16	2015.2	1981-01-01	12.432027	55.834247
Bakkevej 58	3460 Birkerød	53e5	217	24424	7	2015-04-15	2015.2	1952-01-01	12.4341897	55.8554551
Carinaparken 79	3460 Birkerød	5e6	225	22222	7	2015-04-14	2015.2	1900-01-01	12.412347	55.847572
Fuglesangsvej 41	3460 Birkerød	425e4	143	29720	5	2015-04-14	2015.2	1956-01-01	12.4207476	55.8487429
Storevang 13	3460 Birkerød	3275e3	112	29241	5	2015-04-13	2015.2	1964-01-01	12.44266	55.854755
Æblerosestien 20	3460 Birkerød	377e4	152	24803	6	2015-04-13	2015.2	1957-01-01	12.417528	55.8413754
Fredsholmvej 3	3460 Birkerød	315e4	131	24046	5	2015-04-01	2015.2	1967-01-01	12.425768	55.824478
Bistruphave 7A	3460 Birkerød	3695e3	162	22809	4	2015-03-31	2015.1	1977-01-01	12.4199061	55.8230407
Jeppe Aakjærs Vej 5	3460 Birkerød	39e5	151	25828	3	2015-03-30	2015.1	1975-01-01	12.4581289	55.859992
Valdemar Rørdams Vej 12	3460 Birkerød	32e5	130	24615	5	2015-03-24	2015.1	1976-01-01	12.4585104	55.8618767
Carl Plougs Vej 43	3460 Birkerød	5755e3	106	54292	3	2015-03-23	2015.1	1964-01-01	12.4574221	55.86344459999999
Herman Bangs Vej 16	3460 Birkerød	699e4	202	34604	7	2015-03-22	2015.1	1996-01-01	12.4631981	55.8626899
Bistrupgårdsvej 39	3460 Birkerød	4075e3	220	18523	6	2015-03-22	2015.1	1969-01-01	12.440766	55.82629799999999
Hestkøb Vænge 31	3460 Birkerød	465e4	154	30195	4	2015-03-20	2015.1	1974-01-01	12.413926	55.834428
Lyngholmen 16	3460 Birkerød	34e5	159	21384	6	2015-03-19	2015.1	1956-01-01	12.417162	55.837799
Tornevangsvej 62	3460 Birkerød	335e4	136	24632	6	2015-03-17	2015.1	1964-01-01	12.4120673	55.8448277
Ellebakken 3	3460 Birkerød	3495e3	108	32361	4	2015-03-16	2015.1	1959-01-01	12.4339562	55.8255823
Hasselbakken 3	3460 Birkerød	3275e3	126	25992	6	2015-03-13	2015.1	1954-01-01	12.430069	55.823441
Langkærgårdsvej 48	3460 Birkerød	5495e3	193	28472	6	2015-03-08	2015.1	1967-01-01	12.432364	55.82212699999999
Ravnsnæsvej 76	3460 Birkerød	3725e3	145	25690	5	2015-03-05	2015.1	1985-01-01	12.445905	55.851149
Vagtelvej 11	3460 Birkerød	288e4	90	32e3	4	2015-03-03	2015.1	1959-01-01	12.444368	55.847686
Kattehalevej 15	3460 Birkerød	33e5	170	19412	7	2015-03-02	2015.1	1957-01-01	12.3879499	55.8504409
Lindevangsvej 20B	3460 Birkerød	4925e3	161	30590	7	2015-03-02	2015.1	1972-01-01	12.424306	55.833285
Hestkøb Vænge 85	3460 Birkerød	426e4	182	23407	5	2015-02-27	2015.1	1972-01-01	12.4161385	55.8348616
Soldraget 29	3460 Birkerød	2795e3	124	22540	5	2015-02-27	2015.1	1960-01-01	12.4274468	55.8576533
Abildlunden 47	3460 Birkerød	4195e3	140	29964	4	2015-02-22	2015.1	1965-01-01	12.42197	55.8211463
Bistrupvej 72	3460 Birkerød	205e4	74	27703	3	2015-02-20	2015.1	1955-01-01	12.4294619	55.83214299999999
Hestkøb Vænge 69	3460 Birkerød	3995e3	154	25942	5	2015-02-19	2015.1	1973-01-01	12.4155732	55.8348162
Furesøparkalle 22	3460 Birkerød	475e4	150	31667	5	2015-02-16	2015.1	1968-01-01	12.43544	55.823318
Stavnsholt Gydevej 92	3460 Birkerød	2498e3	91	27451	4	2015-02-16	2015.1	1946-01-01	12.3835234	55.8314224
Odinsvej 6	3460 Birkerød	34e5	120	28333	4	2015-02-16	2015.1	1936-01-01	12.4322501	55.8464071
Kvædegangen 4	3460 Birkerød	385e4	186	20699	6	2015-02-15	2015.1	1960-01-01	12.42646	55.820547
Odinsvej 12A	3460 Birkerød	351e4	188	18670	6	2015-02-06	2015.1	1933-01-01	12.4333189	55.846169
Præstevangen 21	3460 Birkerød	145e4	110	13182	4	2015-02-05	2015.1	1951-01-01	12.4343039	55.836144
Bøgebakken 9	3460 Birkerød	6125e3	240	25521	6	2015-02-05	2015.1	1973-01-01	12.4424007	55.8271532
Lindehøj Vænge 27	3460 Birkerød	275e4	161	17081	4	2015-02-05	2015.1	1960-01-01	12.4250082	55.852599
Hestkøb Vænge 33	3460 Birkerød	42e5	178	23596	5	2015-02-03	2015.1	1971-01-01	12.413657	55.834633
Kattehalevej 24	3460 Birkerød	3795e3	170	22324	7	2015-01-29	2015.1	1957-01-01	12.368797	55.853286
Kildehøjvej 28	3460 Birkerød	31e5	208	14904	6	2015-01-29	2015.1	1924-01-01	12.4301811	55.8460834
Nobisvej 84	3460 Birkerød	5e6	163	30675	6	2015-01-28	2015.1	1980-01-01	12.442348	55.842743
Linde Alle 3	3460 Birkerød	69e4	145	4759	4	2015-01-23	2015.1	1955-01-01	12.42468	55.835172
Hestkøb Vænge 21	3460 Birkerød	405e4	158	25633	4	2015-01-23	2015.1	1976-01-01	12.414978	55.833482
Lerbakken 9	3460 Birkerød	335e4	107	31308	4	2015-01-22	2015.1	1960-01-01	12.418392	55.846352
Kajerødvej 41	3460 Birkerød	35e5	100	35e3	4	2015-01-22	2015.1	1962-01-01	12.4236487	55.8445299
Ydervang 18	3460 Birkerød	4275e3	172	24855	6	2015-01-19	2015.1	1963-01-01	12.445728	55.857088
Biskop Svanes Vej 49	3460 Birkerød	495e4	193	25648	6	2015-01-13	2015.1	1926-01-01	12.4497194	55.8467159
Henrik Thomsens Vej 22	3460 Birkerød	41e5	215	19070	7	2015-01-09	2015.1	1959-01-01	12.421685	55.844174
Turistvej 162	3460 Birkerød	635e3	271	2343	7	2015-01-08	2015.1	1970-01-01	12.43334	55.81942
Gyvelbakken 18	3460 Birkerød	3331e3	95	35063	5	2015-01-05	2015.1	1960-01-01	12.431738	55.82426599999999
Bistrup Hegnsvej 2	3460 Birkerød	44e5	183	24044	7	2014-12-23	2014.4	1905-01-01	12.430623	55.8339112
Bakkevej 8	3460 Birkerød	1254500	158	7940	5	2014-12-22	2014.4	1918-01-01	12.4302404	55.8486932
Præstevangen 27	3460 Birkerød	4015e3	142	28275	5	2014-12-15	2014.4	1953-01-01	12.435029	55.835674
Hyldeskovvej 7	3460 Birkerød	45e5	202	22277	8	2014-12-12	2014.4	1966-01-01	12.4335529	55.8564829
Magnoliavej 5B	3460 Birkerød	49e5	181	27072	5	2014-12-05	2014.4	1983-01-01	12.423596	55.83593
Højbovej 9	3460 Birkerød	24e5	135	17778	5	2014-12-04	2014.4	1969-01-01	12.4273675	55.84989359999999
Poppelbakken 2	3460 Birkerød	525e4	167	31437	6	2014-12-04	2014.4	1957-01-01	12.437718	55.82379400000001
Bentzens Vænge 5	3460 Birkerød	4875e3	183	26639	6	2014-11-30	2014.4	1955-01-01	12.4258066	55.844948
Skovmærkevej 4	3460 Birkerød	2925e3	94	31117	4	2014-11-26	2014.4	1959-01-01	NA	NA
Lindebakken 10	3460 Birkerød	3275e3	168	19494	6	2014-11-25	2014.4	1962-01-01	12.4298766	55.8190213
