street	city	price	sqms	sqmp	rooms	dos	qos	yoc
Nyvej 4	3460 Birkerød	56e5	155	36129	6	2016-08-29	2016.3	1902-01-01
Kirsebærlunden 24	3460 Birkerød	3625e3	161	22516	4	2016-08-28	2016.3	1968-01-01
Bistrupgårdsvej 6	3460 Birkerød	3495e3	118	29619	5	2016-08-25	2016.3	1949-01-01
Carinaparken 40	3460 Birkerød	3895e3	167	23323	5	2016-08-25	2016.3	1970-01-01
Skovgårdskrogen 30	3460 Birkerød	305e4	116	26293	4	2016-08-22	2016.3	1960-01-01
Gammelhave 6	3460 Birkerød	3e6	83	36145	2	2016-08-19	2016.3	1987-01-01
Fredensvej 12	3460 Birkerød	42e5	152	27632	6	2016-08-19	2016.3	1959-01-01
Nordvangsparken 62	3460 Birkerød	132e4	186	7097	7	2016-08-19	2016.3	2017-01-01
Damgårdsvej 5	3460 Birkerød	129e5	210	61429	8	2016-08-17	2016.3	1936-01-01
Peder Mathiasens Vej 10	3460 Birkerød	4015e3	144	27882	4	2016-08-15	2016.3	1930-01-01
Tornevangsvej 21	3460 Birkerød	32e5	140	22857	5	2016-08-06	2016.3	1986-01-01
Damgårdsvej 27	3460 Birkerød	8985e3	172	52238	6	2016-08-01	2016.3	1962-01-01
Skovgårdsvej 27	3460 Birkerød	4595e3	101	45495	4	2016-07-24	2016.3	1961-01-01
Hasselbakken 11	3460 Birkerød	315e4	94	33511	4	2016-07-20	2016.3	1958-01-01
Bakkevej 15D	3460 Birkerød	45e5	172	26163	4	2016-07-18	2016.3	1980-01-01
Rolighedsvej 12	3460 Birkerød	73e5	392	18622	11	2016-07-11	2016.3	1860-01-01
Nordvanggårdsvej 40	3460 Birkerød	49e5	269	18216	7	2016-07-09	2016.3	1976-01-01
Mosevangen 33	3460 Birkerød	305e4	125	24400	4	2016-07-06	2016.3	1961-01-01
Ferskengangen 14	3460 Birkerød	3945e3	165	23909	7	2016-07-04	2016.3	1960-01-01
Lindevangsvej 17C	3460 Birkerød	4175e3	208	20072	4	2016-07-04	2016.3	1977-01-01
Fuglesangsvej 29	3460 Birkerød	67e5	207	32367	7	2016-06-30	2016.2	2006-01-01
Bakkevej 51	3460 Birkerød	32e5	85	37647	3	2016-06-30	2016.2	1945-01-01
Ferskengangen 3	3460 Birkerød	436e4	158	27595	6	2016-06-23	2016.2	1960-01-01
Bistrupvej 145A	3460 Birkerød	385e4	143	26923	5	2016-06-23	2016.2	1968-01-01
Abildgårdsparken 23	3460 Birkerød	314e4	135	23259	5	2016-06-22	2016.2	1968-01-01
Birkebakken 18	3460 Birkerød	391e4	128	30547	5	2016-06-15	2016.2	1966-01-01
Ellebakken 4	3460 Birkerød	38e5	141	26950	5	2016-06-13	2016.2	1957-01-01
Bøgebakken 1B	3460 Birkerød	3905e3	199	19623	8	2016-06-10	2016.2	1950-01-01
Kajerød Have 63	3460 Birkerød	1575e3	131	12023	4	2016-06-07	2016.2	1973-01-01
Pilegårdsparken 44	3460 Birkerød	58e5	210	27619	5	2016-06-01	2016.2	1967-01-01
Stenløkken 55	3460 Birkerød	41e5	139	29496	4	2016-05-31	2016.2	1973-01-01
Ferskengangen 16	3460 Birkerød	416e4	135	30815	5	2016-05-30	2016.2	1961-01-01
Abildgårdsparken 18	3460 Birkerød	35e5	169	20710	6	2016-05-26	2016.2	1968-01-01
Stenløkken 9	3460 Birkerød	48e5	188	25532	7	2016-05-25	2016.2	1973-01-01
Ravnsnæsvej 16A	3460 Birkerød	415e4	148	28041	5	2016-05-24	2016.2	1997-01-01
Thorsvej 13	3460 Birkerød	55e5	215	25581	6	2016-05-17	2016.2	1920-01-01
Odinsvej 1	3460 Birkerød	325e4	192	16927	6	2016-05-12	2016.2	1934-01-01
Bistrupvej 151	3460 Birkerød	405e4	207	19565	4	2016-05-12	2016.2	1939-01-01
Solbjærget 21	3460 Birkerød	405e4	93	43548	4	2016-05-12	2016.2	1952-01-01
Bistrup Hegnsvej 5	3460 Birkerød	5495e3	125	43960	4	2016-05-10	2016.2	1946-01-01
Birkebakken 60	3460 Birkerød	34e5	86	39535	3	2016-05-09	2016.2	1954-01-01
Frejasvej 5	3460 Birkerød	29e5	110	26364	5	2016-05-09	2016.2	1948-01-01
Rørsangervej 19	3460 Birkerød	32e5	180	17778	8	2016-05-06	2016.2	1967-01-01
Tornevangsvej 11B	3460 Birkerød	27e5	84	32143	3	2016-05-02	2016.2	1960-01-01
Carinaparken 23	3460 Birkerød	1875e3	130	14423	4	2016-05-02	2016.2	1965-01-01
Lerbakken 14	3460 Birkerød	34e5	161	21118	7	2016-04-29	2016.2	1961-01-01
Fuglesangsvej 23	3460 Birkerød	335e4	109	30734	3	2016-04-28	2016.2	1960-01-01
Mosevangen 39	3460 Birkerød	45e5	166	27108	6	2016-04-28	2016.2	1964-01-01
Bistrupvej 81	3460 Birkerød	2865e3	103	27816	3	2016-04-27	2016.2	1948-01-01
Gyvelbakken 32	3460 Birkerød	33e5	183	18033	7	2016-04-25	2016.2	1960-01-01
Carinaparken 49	3460 Birkerød	4995e3	182	27445	6	2016-04-24	2016.2	1967-01-01
Storevang 25	3460 Birkerød	31e5	115	26957	5	2016-04-21	2016.2	1964-01-01
Bistrupvej 91	3460 Birkerød	315e4	123	25610	4	2016-04-15	2016.2	1958-01-01
Carl Plougs Vej 40	3460 Birkerød	1818234	153	11884	6	2016-04-15	2016.2	1969-01-01
Bakkevej 18A	3460 Birkerød	41e5	141	29078	6	2016-04-12	2016.2	1917-01-01
Stenløkken 88	3460 Birkerød	435e4	191	22775	5	2016-04-11	2016.2	1973-01-01
Bakkevej 43	3460 Birkerød	3461e3	140	24721	6	2016-04-08	2016.2	1949-01-01
Sjælsøvej 42	3460 Birkerød	3045e3	180	16917	5	2016-04-04	2016.2	1937-01-01
Bistrupvej 192	3460 Birkerød	275e4	154	17857	5	2016-04-03	2016.2	1928-01-01
Biskop Svanes Vej 53	3460 Birkerød	455e4	170	26765	6	2016-04-03	2016.2	1898-01-01
Sækkedammen 8A	3460 Birkerød	4125e3	136	30331	4	2016-04-01	2016.2	1975-01-01
Henrik Thomsens Vej 12	3460 Birkerød	455e4	175	26e3	4	2016-03-31	2016.1	1973-01-01
Kajerødvej 91	3460 Birkerød	58e5	223	26009	8	2016-03-28	2016.1	1944-01-01
Grøndalsvænge 3B	3460 Birkerød	42e5	180	23333	6	2016-03-23	2016.1	1984-01-01
Kajerødvej 107	3460 Birkerød	377e4	117	32222	4	2016-03-21	2016.1	1966-01-01
Herman Bangs Vej 18	3460 Birkerød	41e5	179	22905	7	2016-03-18	2016.1	1970-01-01
Bregnerødvej 50	3460 Birkerød	265e4	180	14722	6	2016-03-17	2016.1	2016-01-01
Vagtelvej 13	3460 Birkerød	62e5	189	32804	5	2016-03-17	2016.1	2008-01-01
Skovgårdskrogen 9	3460 Birkerød	29e5	122	23770	4	2016-03-16	2016.1	1960-01-01
Valdemar Rørdams Vej 7	3460 Birkerød	6625e3	202	32797	7	2016-03-16	2016.1	1996-01-01
Rolighedsvej 33	3460 Birkerød	4995e3	161	31025	6	2016-03-16	2016.1	1941-01-01
Bistrupvej 83A	3460 Birkerød	359e4	108	33241	4	2016-03-16	2016.1	1960-01-01
Damgårdsvej 11A	3460 Birkerød	88e5	185	47568	7	2016-03-13	2016.1	1940-01-01
Kajerødvej 148	3460 Birkerød	37e5	170	21765	5	2016-03-11	2016.1	1967-01-01
Ferskengangen 21	3460 Birkerød	4505e3	170	26500	6	2016-03-09	2016.1	1967-01-01
Høbjergkrogen 3	3460 Birkerød	4225e3	172	24564	5	2016-03-07	2016.1	1967-01-01
Lindevangsvej 7	3460 Birkerød	49e5	116	42241	5	2016-03-06	2016.1	1951-01-01
Ludvig Jensens Vej 7D	3460 Birkerød	415e4	110	37727	4	2016-03-03	2016.1	1965-01-01
Lindebakken 9	3460 Birkerød	475e4	158	30063	5	2016-03-01	2016.1	1985-01-01
Kajerødgade 9	3460 Birkerød	346e4	167	20719	5	2016-03-01	2016.1	1958-01-01
Damgårdsvej 35	3460 Birkerød	7245e3	233	31094	5	2016-02-28	2016.1	1972-01-01
Teglværksvej 6B	3460 Birkerød	365e4	109	33486	5	2016-02-24	2016.1	1986-01-01
Biskop Svanes Vej 24A	3460 Birkerød	557e4	164	33963	6	2016-02-22	2016.1	1966-01-01
Nyvej 8	3460 Birkerød	5585e3	196	28495	5	2016-02-22	2016.1	1905-01-01
Solbjærget 28	3460 Birkerød	53e5	144	36806	6	2016-02-19	2016.1	1952-01-01
Munkerisparken 39	3460 Birkerød	48e5	179	26816	5	2016-02-18	2016.1	1975-01-01
